Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
27,31,30,35,29,29,30,27,34,26
27,38,29,32,30,28,26,34,27,29
24,32,39,36,32,26,25,32,26,29
32,33,25,24,27,35,22,28,31,36
29,34,25,35,33,21,32,31,32,29
28,29,29,32,31,26,39,24,23,26
22,24,25,35,28,28,27,28,33,22
28,34,28,30,37,24,27,26,31,30
24,34,33,31,35,32,26,30,24,26
25,35,43,26,32,31,36,36,33,22
26,28,22,29,29,31,40,36,27,28
28,35,28,26,45,41,39,32,32,29
31,33,28,29,27,31,25,30,32,26
23,33,33,27,33,32,31,21,29,28
29,26,22,37,32,32,30,37,26,30
34,29,31,31,28,30,32,34,28,29
25,30,30,32,38,26,35,37,34,30
26,26,31,27,40,40,32,25,35,25
32,34,31,25,33,28,24,27,24,36
38,25,27,27,41,26,32,25,28,22
28,35,26,33,32,26,35,29,25,28
29,28,27,33,26,34,37,23,30,32
22,34,35,29,41,29,30,32,22,27
29,26,31,37,35,27,24,30,39,38
34,31,33,28,27,32,32,30,31,26
30,33,28,22,41,27,29,28,23,30
27,28,26,22,29,25,22,27,33,31
29,28,34,28,30,27,26,28,25,32
28,33,40,34,28,24,35,44,24,36
22,30,28,31,23,33,29,29,34,35
27,22,25,27,32,29,22,37,27,26
28,26,30,32,33,29,29,34,22,36
25,28,29,30,37,28,26,28,33,32
23,31,30,34,31,32,31,34,39,30
37,39,29,25,28,31,24,27,30,36
26,28,24,33,31,27,43,21,26,27
24,35,31,30,29,29,22,31,32,30
33,27,31,31,47,28,25,31,38,26
25,35,30,33,35,28,38,33,31,33
29,38,24,27,29,31,29,24,25,35
25,27,33,33,36,23,34,32,31,27
25,31,28,30,30,29,26,31,24,26
31,34,23,30,34,33,28,29,23,25
36,32,30,45,39,28,32,31,22,31
24,29,30,30,32,32,29,24,25,29
29,39,24,44,35,27,28,32,32,24
28,32,37,30,31,34,34,33,23,21
30,30,35,39,23,26,36,32,30,29
28,30,36,32,29,27,42,34,29,28
25,29,31,38,30,25,32,30,28,28
26,35,25,32,38,20,29,29,28,28
24,33,35,27,36,26,31,26,33,31
34,29,32,41,46,38,34,27,26,26
29,31,29,35,25,26,36,30,27,29
28,32,29,28,27,28,29,29,23,29
26,32,26,35,32,26,26,30,23,23
26,24,32,28,32,30,32,34,28,27
27,25,23,32,31,28,28,32,25,36
26,41,28,36,34,27,48,25,27,32
30,30,25,28,36,42,35,27,32,31
24,32,30,33,34,27,28,27,31,27
30,33,26,40,34,29,31,29,31,29
24,28,25,22,31,24,33,46,27,31
31,28,30,27,32,32,34,37,26,35
27,26,34,37,40,33,31,29,30,30
27,25,38,26,31,29,32,23,29,24
34,26,32,32,35,30,27,30,33,28
43,27,34,37,27,28,35,36,29,29
21,23,30,30,40,25,28,30,33,34
34,29,28,25,32,40,27,27,32,22
29,31,28,43,25,22,25,24,25,30
28,33,27,31,32,31,26,26,40,26
30,24,35,33,35,27,26,29,29,27
24,34,30,25,49,25,37,28,26,29
25,28,25,28,36,27,25,30,25,35
28,30,27,28,39,29,29,28,32,31
33,33,36,31,33,26,28,29,28,29
24,31,38,36,35,24,25,23,29,28
29,27,26,27,26,28,25,35,33,34
28,30,21,28,32,30,37,25,21,34
25,23,25,26,33,24,39,34,24,27
25,32,27,33,40,21,30,27,30,29
30,31,29,26,29,27,30,28,23,32
22,38,27,27,31,27,30,33,30,25
26,34,23,27,33,31,31,29,28,29
29,32,34,30,29,30,30,29,33,26
28,29,25,34,28,35,28,29,25,27
32,33,32,31,28,28,31,34,23,25
30,27,25,28,28,32,29,30,29,39
25,27,32,28,28,27,32,32,28,30
25,35,35,27,34,28,33,31,31,35
29,43,27,25,36,27,29,36,27,31
27,33,30,26,34,31,29,28,33,25
25,34,34,30,26,27,22,27,30,37
24,31,24,26,33,24,34,31,23,28
25,26,29,23,32,32,29,28,28,37
26,25,29,39,37,26,34,31,39,30
30,34,35,29,29,26,30,26,24,30
30,27,23,37,28,34,34,25,33,31
28,33,30,42,31,28,20,52,27,33
30,31,32,19,34,30,32,25,31,23
32,30,29,34,37,35,24,21,30,31
25,30,23,27,27,41,35,38,25,34
31,25,32,42,33,29,25,28,30,29
26,25,25,38,34,25,33,25,26,37
25,28,30,36,31,25,28,25,25,32
31,30,29,43,35,30,29,27,25,23
27,26,31,23,29,28,30,29,27,46
28,30,25,32,21,30,37,27,26,25
32,33,28,33,33,29,31,22,26,26
30,20,28,29,29,39,34,18,34,25
28,29,27,36,25,37,33,34,27,27
24,27,32,33,29,30,27,44,27,27
27,30,31,25,27,32,26,34,33,34
