num_snakes,num_ladders,avg_iterations,avg_game_time,snake_ladder_ratio,snake_ladder_diff
5.000,5.000,1.000,30.377,1.000,0.000
5.000,6.000,1.000,29.156,0.833,-1.000
5.000,7.000,1.000,29.079,0.714,-2.000
5.000,8.000,1.000,28.690,0.625,-3.000
5.000,9.000,1.000,28.966,0.556,-4.000
5.000,10.000,1.000,28.121,0.500,-5.000
5.000,11.000,1.000,28.051,0.455,-6.000
5.000,12.000,1.000,26.886,0.417,-7.000
5.000,13.000,1.000,27.071,0.385,-8.000
5.000,14.000,1.000,26.799,0.357,-9.000
5.000,15.000,1.000,26.527,0.333,-10.000
6.000,5.000,1.000,30.221,1.200,1.000
6.000,6.000,1.000,30.009,1.000,0.000
6.000,7.000,1.000,29.877,0.857,-1.000
6.000,8.000,1.000,29.327,0.750,-2.000
6.000,9.000,1.000,28.638,0.667,-3.000
6.000,10.000,1.000,28.845,0.600,-4.000
6.000,11.000,1.000,28.117,0.545,-5.000
6.000,12.000,1.000,27.933,0.500,-6.000
6.000,13.000,1.000,27.774,0.462,-7.000
6.000,14.000,1.000,26.746,0.429,-8.000
6.000,15.000,1.000,26.464,0.400,-9.000
7.000,5.000,1.000,31.006,1.400,2.000
7.000,6.000,1.000,30.378,1.167,1.000
7.000,7.000,1.000,30.503,1.000,0.000
7.000,8.000,1.000,29.522,0.875,-1.000
7.000,9.000,1.000,30.095,0.778,-2.000
7.000,10.000,1.000,29.164,0.700,-3.000
7.000,11.000,1.000,28.752,0.636,-4.000
7.000,12.000,1.000,28.389,0.583,-5.000
7.000,13.000,1.000,28.335,0.538,-6.000
7.000,14.000,1.000,27.521,0.500,-7.000
7.000,15.000,1.000,27.513,0.467,-8.000
8.000,5.000,1.000,31.531,1.600,3.000
8.000,6.000,1.000,30.797,1.333,2.000
8.000,7.000,1.000,30.948,1.143,1.000
8.000,8.000,1.000,30.477,1.000,0.000
8.000,9.000,1.000,29.947,0.889,-1.000
8.000,10.000,1.000,29.293,0.800,-2.000
8.000,11.000,1.000,29.259,0.727,-3.000
8.000,12.000,1.000,29.185,0.667,-4.000
8.000,13.000,1.000,28.772,0.615,-5.000
8.000,14.000,1.000,28.099,0.571,-6.000
8.000,15.000,1.000,27.301,0.533,-7.000
9.000,5.000,1.000,32.749,1.800,4.000
9.000,6.000,1.000,32.294,1.500,3.000
9.000,7.000,1.000,31.625,1.286,2.000
9.000,8.000,1.000,30.865,1.125,1.000
9.000,9.000,1.000,30.381,1.000,0.000
9.000,10.000,1.000,29.609,0.900,-1.000
9.000,11.000,1.000,29.737,0.818,-2.000
9.000,12.000,1.000,29.463,0.750,-3.000
9.000,13.000,1.000,28.640,0.692,-4.000
9.000,14.000,1.000,28.512,0.643,-5.000
9.000,15.000,1.000,27.941,0.600,-6.000
10.000,5.000,1.000,33.099,2.000,5.000
