Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
28,30,27,34,26,34,29,30,22,26
24,29,29,29,27,26,34,30,33,28
22,32,33,33,27,31,33,25,29,28
35,23,26,29,31,31,31,30,27,29
24,30,27,35,30,27,25,24,30,32
25,24,29,31,26,28,30,27,33,23
27,24,28,29,22,28,27,33,23,31
29,30,34,27,26,30,28,35,28,34
26,29,29,33,30,27,40,26,24,25
32,27,29,36,29,31,30,24,28,34
31,30,34,27,25,32,35,24,32,31
28,29,26,29,30,24,33,23,23,32
24,31,28,29,30,22,31,30,33,27
24,28,36,27,28,30,33,23,28,30
26,27,27,31,33,36,41,34,34,27
30,28,25,30,28,33,31,29,32,42
26,29,37,35,30,31,28,24,28,25
29,32,39,23,24,26,27,29,32,25
27,30,23,24,30,28,29,25,27,27
24,29,37,27,32,26,27,37,35,27
27,30,32,32,31,29,29,29,30,36
28,23,35,33,25,27,31,35,26,27
22,28,26,34,24,28,25,30,31,25
36,25,23,38,29,35,27,32,25,30
31,31,28,34,25,29,32,21,28,29
28,28,26,32,26,30,27,31,25,33
26,30,26,31,24,29,28,26,31,23
32,35,29,32,34,26,26,35,22,26
30,27,31,28,28,29,28,28,22,35
28,26,28,26,27,28,32,34,29,29
31,31,25,27,28,30,25,30,31,29
24,32,26,27,35,28,26,34,24,27
43,42,28,30,34,28,31,31,35,34
33,32,34,30,30,24,31,31,30,25
32,29,31,29,32,27,28,28,25,31
36,37,30,26,22,25,31,39,33,25
37,31,23,27,30,28,23,27,27,28
24,28,22,25,30,27,27,27,29,30
28,29,30,26,32,23,28,26,30,30
26,28,30,39,29,25,29,40,25,32
28,33,30,25,27,29,31,28,33,27
34,26,30,33,26,33,24,45,29,27
29,30,30,26,33,27,26,34,36,33
31,31,26,29,25,31,33,33,27,34
26,31,26,32,26,26,30,34,27,39
34,34,29,28,28,24,32,26,27,24
22,34,24,29,25,23,27,26,27,25
25,29,23,32,28,27,31,28,22,32
28,29,28,25,30,30,29,31,30,28
30,30,24,27,29,30,28,28,28,34
25,28,28,30,26,32,29,31,28,27
24,34,24,30,28,28,29,26,31,51
23,32,25,33,30,24,29,27,33,32
29,29,25,32,34,31,26,23,27,27
27,36,29,26,26,28,29,31,30,26
26,33,28,34,27,27,24,27,29,29
27,30,27,23,28,35,31,32,25,27
36,35,35,30,29,24,32,27,25,30
28,29,26,27,30,26,29,30,28,40
29,26,30,27,32,28,33,26,29,36
28,33,24,27,29,29,33,33,26,31
28,35,27,23,30,28,29,40,29,26
26,27,24,24,26,26,31,30,30,29
20,27,25,27,25,30,28,26,28,33
28,36,33,31,32,24,30,31,35,26
25,29,37,32,31,25,26,29,23,31
27,27,26,34,30,27,34,29,30,30
32,27,35,31,28,27,27,33,27,23
26,30,35,32,27,25,32,30,28,29
28,35,28,36,26,22,37,32,33,27
26,26,34,26,23,31,30,28,33,29
30,31,26,31,29,27,22,29,34,33
29,27,34,32,28,24,30,27,34,36
29,32,30,35,31,30,33,31,28,27
25,33,28,36,35,32,29,34,30,29
29,24,25,33,31,28,26,31,29,26
33,31,28,26,26,26,28,38,31,25
25,33,33,28,32,21,28,33,23,26
29,28,28,29,33,31,27,31,31,27
26,31,42,31,31,25,25,31,28,29
27,31,29,26,29,25,34,24,27,23
27,35,29,23,23,25,29,32,33,28
34,31,36,26,29,32,30,26,29,29
26,36,32,25,26,37,28,24,34,30
32,27,25,28,28,26,29,33,26,25
36,29,30,25,24,28,27,38,28,38
30,27,27,34,31,38,27,29,26,31
28,24,29,33,31,26,25,26,28,37
28,24,25,31,33,30,36,26,33,25
28,30,25,26,27,25,29,31,28,25
30,33,26,29,27,27,30,31,28,29
32,27,29,33,29,25,24,30,27,29
27,32,26,27,33,24,33,30,24,33
23,26,29,27,34,24,27,35,25,32
23,33,27,32,27,29,29,25,39,28
30,30,26,29,28,25,37,31,28,24
26,29,25,27,22,24,33,27,32,25
27,34,29,33,29,29,30,36,30,32
27,32,31,30,27,26,32,25,27,27
25,27,32,31,25,31,29,31,26,44
27,31,27,33,32,33,30,33,27,29
27,38,29,31,32,24,31,25,39,29
28,33,29,35,25,26,28,26,23,27
28,33,28,29,22,28,31,31,32,25
25,25,33,37,34,26,28,31,24,24
