Distribution,Board Number,Average Game Time,Avg(LengthSnake - LengthLadder),Avg(LengthSnake / LengthLadder)
Uniform,1,16.02,13.70707071,1.753888889
Uniform,2,21.2,1.4,1.045901639
Uniform,3,15.07,-5.230769231,0.764705882
Uniform,4,22.962,-11,0.64516129
Uniform,5,14.097,4.7,1.171532847
Uniform,6,22.185,1.923076923,1.091240876
Uniform,7,23.139,-4.2,0.8359375
Uniform,8,23.903,-5.901098901,0.760267857
Uniform,9,21.754,-17.11111111,0.537537538
Uniform,10,32.106,-16.57575758,0.55090312
Normal,1,23.501,-0.833333333,0.967948718
Normal,2,22.808,1.626262626,1.060640301
Normal,3,27.686,-2.5,0.914675768
Normal,4,30.237,1.727272727,1.085201794
Normal,5,22.748,-7.1,0.735074627
Normal,6,25.316,12.6,1.636363636
Normal,7,22.992,5,1.203252033
Normal,8,45.696,1.4,1.050724638
Normal,9,33.184,0.282828283,1.012152778
Normal,10,24.794,-7,0.727626459
Exponential,1,30.064,-5,0.768518519
Exponential,2,24.266,-1.25,0.910714286
Exponential,3,25.155,8.166666667,2.240506329
Exponential,4,40.831,3.565656566,1.308836395
Exponential,5,40.525,4.646464646,1.587484036
Exponential,6,24.768,14.1,2.165289256
Exponential,7,29.31,-1.9,0.903061224
Exponential,8,35.942,-0.692307692,0.969491525
Exponential,9,28.139,-0.4,0.971428571
Exponential,10,58.567,4,1.310077519
