Board Number,Snakes,Ladders,Avg(LengthSnake - LengthLadder),Avg(LengthSnake / LengthLadder)
1,99->69; 92->88; 18->14; 12->10; 80->66; 44->28; 57->51; 3->2; 32->1,35->58; 9->25; 90->91; 4->47; 51->52; 27->64; 94->95; 33->45; 23->35; 64->96; 77->87,-5.09090909090909,0.7021276595744681
2,42->18; 88->76; 5->3; 67->55; 14->8; 55->29; 59->53; 85->72; 41->28; 86->54,7->23; 76->78; 22->36; 4->9; 92->100; 68->73; 47->58; 26->39; 79->83; 61->87,4.199999999999999,1.4038461538461537
3,28->26; 49->47; 17->3; 67->52; 41->5; 43->23; 29->28; 94->86,64->66; 22->49; 36->38; 14->22; 97->98; 56->64; 69->99; 91->93; 79->89; 80->81; 3->14; 10->18,3.083333333333334,1.3363636363636364
4,30->20; 86->85; 9->8; 32->29; 14->11; 88->71; 5->3; 65->58; 24->12,39->48; 53->90; 8->9; 81->95; 52->54; 49->52; 73->80; 55->59; 19->41; 61->63; 69->70,-3.050505050505051,0.6710239651416121
5,84->82; 51->46; 2->1; 40->23; 97->25; 38->34; 28->15; 76->68,34->74; 80->81; 22->29; 33->65; 10->47; 6->43; 23->100; 26->39; 68->75; 21->33; 75->78; 7->44,-10.0,0.6039603960396039
6,31->23; 41->40; 96->66; 73->19; 91->80; 6->5; 67->1; 18->13; 90->86; 47->20,15->21; 79->99; 32->50; 23->29; 16->67; 46->69; 50->70; 72->75; 43->64; 53->57,3.5,1.2034883720930232
7,97->34; 7->6; 26->23; 78->46; 99->2; 52->45; 63->52; 76->66,87->88; 89->93; 43->61; 18->80; 88->97; 62->100; 35->36; 66->67; 51->76; 9->19; 30->35; 67->74,12.916666666666666,1.856353591160221
8,87->68; 89->59; 54->39; 57->22; 76->32; 44->25; 48->40; 16->8; 8->6; 74->61,11->18; 24->93; 62->67; 58->63; 68->71; 38->65; 37->100; 85->94; 20->38; 84->85,-1.3999999999999986,0.9323671497584541
9,2->1; 15->6; 51->49; 57->26; 63->34; 97->93; 53->42; 38->31; 60->51,46->56; 44->80; 82->83; 81->90; 14->15; 5->94; 88->100; 40->54; 27->50; 31->59; 41->43,-9.010101010101009,0.5595061728395062
10,34->26; 90->85; 38->37; 8->7; 58->51; 14->11; 52->1; 9->5,53->74; 17->18; 20->50; 39->49; 25->77; 48->75; 88->89; 50->52; 87->88; 3->38; 79->83; 12->24,-6.333333333333332,0.6122448979591837
