Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10
32->17,72->6,63->33,54->15,53->33,89->39,91->60,23->18,33->13,82->31
92->22,37->16,48->36,30->13,36->24,90->70,99->77,16->9,37->18,2->1
64->30,42->31,58->45,17->7,17->6,52->36,89->78,86->27,73->45,88->71
8->4,40->29,88->83,32->18,83->64,53->35,93->65,66->40,17->10,31->19
99->37,15->5,35->11,31->11,74->1,42->22,68->44,21->10,44->30,56->25
71->32,5->3,98->63,10->5,58->23,88->33,16->7,32->21,43->15,78->37
62->34,10->7,97->40,85->47,91->38,36->24,49->36,54->23,82->54,35->17
52->14,23->12,11->5,93->48,70->41,4->3,48->23,55->35,79->40,33->11
69->19,98->99,23->13,48->75,14->60,29->11,73->20,50->76,92->24,32->13
28->21,99->100,44->67,35->69,12->58,58->17,58->85,63->84,9->4,4->57
36->80,52->78,84->93,4->32,69->89,27->66,28->56,53->78,89->92,27->61
87->94,17->52,28->81,65->86,93->97,64->88,5->46,80->96,34->64,96->97
54->70,88->96,14->54,88->93,78->92,65->85,78->84,40->81,18->66,85->90
11->50,27->73,52->74,77->87,8->80,30->78,47->89,51->73,77->88,51->89
25->43,22->54,71->85,39->74,54->83,82->94,50->68,96->97,16->48,46->68
63->84,35->74,90->98,11->78,11->66,85->91,66->86,99->100,65->90,87->94
7->59,69->84,59->75,83->91,42->65,49->80,19->71,2->63,29->75,43->79
98->99,96->98,57->71,26->60,63->86,25->67,38->80,82->86,24->59,95->96
40->71,91->95,38->91,58->71,73->85,28->82,8->50,39->62,15->55,19->62
33->77,13->72,30->69,47->79,27->54,60->89,85->87,38->68,96->98,12->64
