Distribution,Board Number,Average Game Time
Uniform,1,37.506
Uniform,2,33.739
Uniform,3,28.933
Uniform,4,33.132
Uniform,5,20.797
Uniform,6,27.746
Uniform,7,43.771
Uniform,8,31.507
Uniform,9,25.873
Uniform,10,38.819
Normal,1,31.513
Normal,2,32.434
Normal,3,30.278
Normal,4,28.137
Normal,5,23.586
Normal,6,37.137
Normal,7,24.778
Normal,8,48.023
Normal,9,29.259
Normal,10,29.782
Exponential,1,33.56
Exponential,2,36.954
Exponential,3,26.535
Exponential,4,63.49
Exponential,5,41.101
Exponential,6,41.06
Exponential,7,31.05
Exponential,8,25.221
Exponential,9,30.776
Exponential,10,31.791
