Distribution,Board Number,Average Game Time,Avg(LengthSnake - LengthLadder),Avg(LengthSnake / LengthLadder)
Uniform,1,15.641,-3.6999999999999993,0.8405172413793104
Uniform,2,28.392,6.86868686868687,1.4607046070460705
Uniform,3,24.694,-5.565656565656564,0.7724080958281703
Uniform,4,29.865,-7.5,0.6153846153846154
Uniform,5,30.28,-5.3434343434343425,0.7814952498967369
Uniform,6,83.834,-2.6813186813186825,0.8950086058519793
Uniform,7,34.678,-21.733333333333334,0.38140417457305503
Uniform,8,29.204,-8.07070707070707,0.7769402568397543
Uniform,9,22.415,3.6923076923076934,1.1912350597609562
Uniform,10,16.126,-8.241758241758241,0.6145940390544707
Normal,1,31.648,0.45833333333333215,1.0183946488294313
Normal,2,17.339,-3.400000000000002,0.8656126482213438
Normal,3,26.196,0.7979797979797993,1.0294556301267712
Normal,4,21.631,3.527472527472529,1.1232718894009217
Normal,5,19.89,-6.800000000000001,0.7404580152671756
Normal,6,22.19,-6.699999999999999,0.7831715210355987
Normal,7,33.888,-1.1000000000000014,0.9458128078817734
Normal,8,23.945,-4.200000000000003,0.825726141078838
Normal,9,26.086,7.400000000000002,1.3663366336633664
Normal,10,25.505,5.282828282828284,1.260587942202292
Exponential,1,23.126,-2.6000000000000014,0.8522727272727272
Exponential,2,26.805,-3.299999999999999,0.7739726027397261
Exponential,3,40.116,0.6565656565656557,1.0776583034647549
Exponential,4,28.527,-5.583333333333332,0.7219917012448133
Exponential,5,29.154,0.6868686868686886,1.031092821216278
Exponential,6,22.642,5.0549450549450565,1.547619047619048
Exponential,7,20.373,1.9797979797979792,1.1047008547008548
Exponential,8,18.791,5.733333333333334,1.4831460674157304
Exponential,9,22.397,4.208333333333332,1.2416267942583732
Exponential,10,29.006,4.708333333333333,1.7337662337662336
