Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10
84->55,89->61,35->28,39->30,99->64,99->75,53->32,28->11,78->68,26->8
57->21,47->33,32->15,91->13,9->2,18->13,75->17,52->45,75->24,42->13
26->6,27->24,33->13,55->37,10->7,53->50,87->46,57->39,70->63,78->21
85->48,98->88,47->29,64->44,68->36,78->59,35->24,97->44,28->7,21->7
21->20,59->6,22->3,35->9,50->37,81->5,11->6,89->70,62->37,8->2
5->1,80->51,48->43,99->84,91->43,97->19,64->15,10->2,97->45,68->44
59->2,32->1,95->84,90->73,4->3,92->3,91->79,92->23,66->29,67->55
48->25,26->10,97->47,57->40,30->22,52->6,8->2,47->25,23->21,76->39
28->23,39->22,87->12,84->64,45->12,96->8,85->38,55->22,90->95,50->35
46->29,53->26,76->61,49->42,41->70,19->49,9->4,85->31,98->100,87->11
31->97,60->94,43->73,82->86,66->77,69->73,88->90,39->61,8->72,47->93
8->26,50->87,68->89,86->89,28->75,33->46,13->51,82->100,5->49,13->100
68->71,66->92,51->68,85->96,55->67,57->91,36->82,69->71,74->78,6->61
33->85,95->98,30->44,42->57,92->93,34->38,98->100,63->93,76->79,66->84
44->87,97->99,64->70,96->98,83->84,51->71,42->89,43->85,85->88,57->85
17->99,77->96,82->100,4->90,74->79,47->67,22->37,38->82,92->97,45->77
60->98,21->78,6->8,98->100,8->58,58->92,63->83,56->57,59->64,3->47
13->72,44->84,14->76,29->69,70->87,38->41,83->84,9->88,53->98,16->51
37->78,67->75,9->90,74->85,67->81,54->56,25->59,51->52,6->12,34->76
74->79,78->83,2->85,68->99,72->96,91->96,73->75,22->64,19->85,30->74
