Board Number,Snakes,Ladders,Average Game Time
Board 1,91->86; 53->48; 90->85; 18->13; 81->76,16->26; 33->43; 45->55; 24->34; 59->69,28.677
Board 2,94->89; 69->64; 27->22; 73->68; 21->16,63->73; 90->100; 9->19; 46->56; 17->27,26.901
Board 3,14->9; 13->8; 17->12; 85->80; 23->18,43->53; 16->26; 34->44; 26->36; 50->60,28.51
Board 4,42->37; 53->48; 89->84; 31->26; 52->47,35->45; 59->69; 24->34; 77->87; 43->53,27.658
Board 5,33->28; 7->2; 29->24; 41->36; 67->62,50->60; 80->90; 36->46; 56->66; 10->20,27.972
Board 6,78->73; 65->60; 23->18; 5->0; 47->42,36->46; 57->67; 84->94; 55->65; 59->69,28.015
Board 7,75->70; 33->28; 74->69; 82->77; 5->0,23->33; 52->62; 83->93; 85->95; 13->23,28.899
Board 8,67->62; 26->21; 7->2; 21->16; 16->11,45->55; 76->86; 17->27; 74->84; 3->13,27.073
Board 9,47->42; 46->41; 83->78; 32->27; 57->52,43->53; 2->12; 20->30; 82->92; 49->59,27.227
Board 10,45->40; 11->6; 67->62; 64->59; 69->64,6->16; 61->71; 53->63; 33->43; 28->38,27.48
Board 11,83->78; 99->94; 89->84; 51->46; 36->31,76->86; 77->87; 5->15; 2->12; 70->80,28.34
Board 12,46->41; 50->45; 37->32; 7->2; 6->1,18->28; 69->79; 51->61; 49->59; 12->22,28.925
Board 13,17->12; 62->57; 34->29; 20->15; 66->61,49->59; 75->85; 48->58; 7->17; 26->36,28.095
Board 14,43->38; 28->23; 58->53; 72->67; 42->37,2->12; 48->58; 40->50; 56->66; 85->95,27.653
Board 15,72->67; 62->57; 17->12; 38->33; 21->16,79->89; 7->17; 14->24; 56->66; 74->84,27.531
Board 16,23->18; 20->15; 35->30; 92->87; 10->5,60->70; 44->54; 49->59; 71->81; 33->43,28.491
Board 17,10->5; 83->78; 12->7; 67->62; 19->14,38->48; 25->35; 57->67; 77->87; 27->37,28.103
Board 18,32->27; 65->60; 34->29; 76->71; 92->87,45->55; 26->36; 24->34; 41->51; 62->72,27.239
Board 19,34->29; 65->60; 94->89; 79->74; 56->51,37->47; 85->95; 14->24; 39->49; 23->33,28.146
Board 20,42->37; 55->50; 70->65; 36->31; 59->54,28->38; 26->36; 16->26; 60->70; 51->61,27.513
Board 1,64->54; 49->39; 79->69; 41->31; 23->13,73->93; 46->66; 60->80; 30->50; 38->58,25.085
Board 2,84->74; 68->58; 23->13; 66->56; 30->20,44->64; 2->22; 58->78; 47->67; 28->48,28.277
Board 3,44->34; 12->2; 11->1; 80->70; 91->81,74->94; 38->58; 43->63; 25->45; 69->89,26.959
Board 4,71->61; 23->13; 75->65; 42->32; 73->63,48->68; 16->36; 65->85; 74->94; 38->58,24.441
Board 5,29->19; 39->29; 37->27; 88->78; 10->0,22->42; 21->41; 18->38; 56->76; 41->61,26.173
Board 6,31->21; 69->59; 88->78; 62->52; 58->48,51->71; 9->29; 21->41; 24->44; 17->37,27.062
Board 7,47->37; 18->8; 33->23; 15->5; 99->89,11->31; 56->76; 27->47; 64->84; 7->27,25.818
Board 8,50->40; 67->57; 56->46; 42->32; 47->37,32->52; 29->49; 31->51; 64->84; 43->63,25.217
Board 9,39->29; 17->7; 83->73; 11->1; 86->76,73->93; 36->56; 41->61; 62->82; 59->79,27.7
Board 10,74->64; 73->63; 71->61; 23->13; 39->29,60->80; 59->79; 56->76; 50->70; 54->74,29.423
Board 11,23->13; 43->33; 24->14; 10->0; 72->62,35->55; 73->93; 70->90; 52->72; 4->24,25.456
Board 12,32->22; 55->45; 60->50; 76->66; 50->40,70->90; 5->25; 4->24; 35->55; 75->95,26.373
Board 13,90->80; 32->22; 54->44; 93->83; 92->82,20->40; 38->58; 46->66; 18->38; 8->28,30.764
Board 14,76->66; 37->27; 31->21; 15->5; 23->13,6->26; 41->61; 10->30; 38->58; 74->94,24.986
Board 15,27->17; 85->75; 83->73; 22->12; 91->81,62->82; 46->66; 63->83; 51->71; 14->34,29.446
Board 16,79->69; 72->62; 57->47; 76->66; 41->31,19->39; 31->51; 36->56; 21->41; 51->71,29.805
Board 17,56->46; 39->29; 54->44; 31->21; 64->54,33->53; 29->49; 8->28; 63->83; 23->43,26.432
Board 18,11->1; 28->18; 67->57; 45->35; 85->75,31->51; 46->66; 80->100; 72->92; 2->22,25.904
Board 19,67->57; 12->2; 88->78; 44->34; 10->0,8->28; 22->42; 73->93; 15->35; 76->96,26.798
Board 20,32->22; 42->32; 45->35; 62->52; 63->53,75->95; 70->90; 80->100; 30->50; 23->43,27.2
