board_size,num_snakes,num_ladders,ns_nl_ratio,fixed_snake_length,fixed_ladder_length,simulation_type,average_turns,prob_win_half_turns,prob_win_third_turns,prob_win_quarter_turns
64,6,12,0.5,10,10,fixed_snake_density,22.0494,0.8652,0.5848,0.3416
64,6,6,1.0,10,10,fixed_snake_density,28.2385,0.7161,0.3261,0.1211
64,6,4,1.5,10,10,fixed_snake_density,30.8373,0.649,0.2934,0.109
64,6,3,2.0,10,10,fixed_snake_density,28.6447,0.7116,0.2872,0.0915
64,3,6,0.5,10,10,fixed_ladder_density,21.3232,0.9225,0.5853,0.2727
64,6,6,1.0,10,10,fixed_ladder_density,23.9727,0.8431,0.4682,0.2095
64,9,6,1.5,10,10,fixed_ladder_density,33.906,0.5813,0.2717,0.1203
64,12,6,2.0,10,10,fixed_ladder_density,47.4023,0.3929,0.1765,0.0806
100,10,20,0.5,10,10,fixed_snake_density,25.8316,0.9897,0.8478,0.5496
100,10,10,1.0,10,10,fixed_snake_density,41.4016,0.7711,0.35,0.1069
100,10,6,1.5,10,10,fixed_snake_density,42.666,0.7677,0.2594,0.0483
100,10,5,2.0,10,10,fixed_snake_density,41.2387,0.8022,0.2806,0.0538
100,5,10,0.5,10,10,fixed_ladder_density,30.7874,0.9798,0.6937,0.2693
100,10,10,1.0,10,10,fixed_ladder_density,38.6033,0.843,0.3901,0.1218
100,15,10,1.5,10,10,fixed_ladder_density,56.4662,0.4897,0.1712,0.0493
100,20,10,2.0,10,10,fixed_ladder_density,59.2624,0.453,0.1451,0.0389
144,14,28,0.5,10,10,fixed_snake_density,40.9745,0.9913,0.7927,0.3711
144,14,14,1.0,10,10,fixed_snake_density,53.2926,0.9098,0.4122,0.0814
144,14,9,1.5,10,10,fixed_snake_density,61.3307,0.7805,0.2606,0.0291
144,14,7,2.0,10,10,fixed_snake_density,58.6239,0.8296,0.2815,0.0383
144,7,14,0.5,10,10,fixed_ladder_density,45.8836,0.9619,0.6692,0.2267
144,14,14,1.0,10,10,fixed_ladder_density,55.8017,0.8682,0.3553,0.0691
144,21,14,1.5,10,10,fixed_ladder_density,68.1502,0.6453,0.2168,0.046
144,28,14,2.0,10,10,fixed_ladder_density,90.4278,0.3128,0.0465,0.0051
196,19,38,0.5,10,10,fixed_snake_density,62.0401,0.9652,0.6476,0.2323
196,19,19,1.0,10,10,fixed_snake_density,63.403,0.9815,0.6104,0.1516
196,19,12,1.5,10,10,fixed_snake_density,74.8142,0.926,0.29,0.023
196,19,9,2.0,10,10,fixed_snake_density,81.118,0.8323,0.2035,0.0107
196,9,19,0.5,10,10,fixed_ladder_density,55.3072,0.9993,0.8512,0.3026
196,19,19,1.0,10,10,fixed_ladder_density,72.2359,0.9033,0.4155,0.0848
196,28,19,1.5,10,10,fixed_ladder_density,79.8896,0.8301,0.26,0.0363
196,38,19,2.0,10,10,fixed_ladder_density,142.5535,0.2605,0.0336,0.0038
256,25,50,0.5,10,10,fixed_snake_density,62.9266,1.0,0.9523,0.5918
256,25,25,1.0,10,10,fixed_snake_density,92.4563,0.9462,0.4129,0.0447
256,25,16,1.5,10,10,fixed_snake_density,107.6975,0.8214,0.1803,0.0077
256,25,12,2.0,10,10,fixed_snake_density,100.8361,0.927,0.2017,0.0044
256,12,25,0.5,10,10,fixed_ladder_density,72.7814,0.9999,0.8707,0.2377
256,25,25,1.0,10,10,fixed_ladder_density,88.2547,0.9732,0.4838,0.0633
256,37,25,1.5,10,10,fixed_ladder_density,115.3999,0.7121,0.1562,0.0134
256,50,25,2.0,10,10,fixed_ladder_density,151.6624,0.3646,0.0366,0.0015
324,32,64,0.5,10,10,fixed_snake_density,80.5276,0.9997,0.9571,0.5831
324,32,32,1.0,10,10,fixed_snake_density,109.3717,0.9811,0.5327,0.0623
324,32,21,1.5,10,10,fixed_snake_density,122.4957,0.9507,0.2869,0.0083
324,32,16,2.0,10,10,fixed_snake_density,124.8818,0.9526,0.2188,0.003
324,16,32,0.5,10,10,fixed_ladder_density,86.2673,1.0,0.961,0.3611
324,32,32,1.0,10,10,fixed_ladder_density,108.8729,0.9896,0.5322,0.0549
324,48,32,1.5,10,10,fixed_ladder_density,119.9693,0.9384,0.3563,0.0301
324,64,32,2.0,10,10,fixed_ladder_density,223.5339,0.1879,0.0079,0.0002
400,40,80,0.5,10,10,fixed_snake_density,107.5664,0.9991,0.9002,0.4014
400,40,40,1.0,10,10,fixed_snake_density,128.6267,0.9983,0.6357,0.0516
400,40,26,1.5,10,10,fixed_snake_density,166.555,0.8428,0.1743,0.0022
400,40,20,2.0,10,10,fixed_snake_density,150.581,0.9736,0.236,0.0024
400,20,40,0.5,10,10,fixed_ladder_density,108.8999,1.0,0.9499,0.2852
400,40,40,1.0,10,10,fixed_ladder_density,122.8989,0.9993,0.7382,0.0972
400,60,40,1.5,10,10,fixed_ladder_density,185.0904,0.6938,0.1139,0.0034
400,80,40,2.0,10,10,fixed_ladder_density,487.4814,0.0285,0.0002,0.0
