board_size,num_snakes,num_ladders,snake_ladder_ratio,average_turns,min_turns,max_turns,prob_win_half_turns,prob_win_third_turns,prob_win_quarter_turns,simulation_type,ns_nl_ratio
64,6,12,0.5,24.8885,7,125,0.8021,0.4629,0.2267,fixed_snake_density,0.5
64,6,6,1.0,31.166,9,164,0.6414,0.287,0.1064,fixed_snake_density,1.0
64,6,4,1.5,26.4654,9,90,0.7793,0.3312,0.106,fixed_snake_density,1.5
64,6,3,2.0,38.3363,11,206,0.4955,0.1635,0.0348,fixed_snake_density,2.0
100,10,20,0.5,32.7801,12,99,0.9339,0.5947,0.2725,fixed_snake_density,0.5
100,10,10,1.0,53.1081,15,294,0.5751,0.2262,0.0583,fixed_snake_density,1.0
100,10,6,1.6666666666666667,39.6765,17,115,0.8472,0.3183,0.0617,fixed_snake_density,1.5
100,10,5,2.0,46.5208,16,151,0.6646,0.2062,0.0405,fixed_snake_density,2.0
144,14,28,0.5,41.4913,18,100,0.9899,0.7702,0.3607,fixed_snake_density,0.5
144,14,14,1.0,52.1466,22,142,0.9112,0.4544,0.1062,fixed_snake_density,1.0
144,14,9,1.5555555555555556,56.1367,23,159,0.8674,0.3542,0.047,fixed_snake_density,1.5
144,14,7,2.0,55.4054,24,136,0.892,0.3391,0.0396,fixed_snake_density,2.0
196,19,38,0.5,53.0646,23,119,0.9986,0.8637,0.4191,fixed_snake_density,0.5
196,19,19,1.0,85.5087,33,293,0.7449,0.227,0.0325,fixed_snake_density,1.0
196,19,12,1.5833333333333333,72.3672,38,154,0.9453,0.3506,0.0276,fixed_snake_density,1.5
196,19,9,2.111111111111111,80.0821,36,205,0.8472,0.2257,0.0172,fixed_snake_density,2.0
256,25,50,0.5,73.571,36,177,0.9917,0.7906,0.3305,fixed_snake_density,0.5
256,25,25,1.0,85.4515,43,210,0.9792,0.5608,0.0815,fixed_snake_density,1.0
256,25,16,1.5625,97.5037,50,211,0.9293,0.2893,0.0128,fixed_snake_density,1.5
256,25,12,2.0833333333333335,101.552,53,208,0.9177,0.1888,0.0037,fixed_snake_density,2.0
324,32,64,0.5,82.2092,44,177,0.9997,0.9533,0.5256,fixed_snake_density,0.5
324,32,32,1.0,112.592,60,267,0.9702,0.4794,0.0407,fixed_snake_density,1.0
324,32,21,1.5238095238095237,115.2594,64,214,0.9843,0.3895,0.0154,fixed_snake_density,1.5
324,32,16,2.0,124.8714,71,278,0.9403,0.2457,0.0048,fixed_snake_density,2.0
400,40,80,0.5,101.9163,61,176,1.0,0.9653,0.4971,fixed_snake_density,0.5
400,40,40,1.0,139.5835,79,341,0.9715,0.4669,0.0346,fixed_snake_density,1.0
400,40,26,1.5384615384615385,141.5683,82,271,0.9917,0.3749,0.0081,fixed_snake_density,1.5
400,40,20,2.0,162.6584,95,332,0.9115,0.1212,0.0004,fixed_snake_density,2.0
64,3,6,0.5,20.3044,8,65,0.9488,0.6575,0.3127,fixed_ladder_density,0.5
64,6,6,1.0,26.1558,10,102,0.7893,0.3575,0.1179,fixed_ladder_density,1.0
64,9,6,1.5,32.6196,9,141,0.5829,0.2068,0.0653,fixed_ladder_density,1.5
64,12,6,2.0,54.5962,9,312,0.3185,0.1156,0.0413,fixed_ladder_density,2.0
100,5,10,0.5,36.513,13,133,0.8742,0.4842,0.1756,fixed_ladder_density,0.5
100,10,10,1.0,36.0143,14,93,0.9089,0.4639,0.134,fixed_ladder_density,1.0
100,15,10,1.5,81.4994,15,498,0.3182,0.0893,0.0202,fixed_ladder_density,1.5
100,20,10,2.0,65.1892,15,238,0.3348,0.0728,0.0146,fixed_ladder_density,2.0
144,7,14,0.5,43.7839,20,127,0.9732,0.7344,0.2831,fixed_ladder_density,0.5
144,14,14,1.0,58.7942,21,192,0.7957,0.3574,0.0876,fixed_ladder_density,1.0
144,21,14,1.5,61.7478,23,165,0.763,0.2366,0.0378,fixed_ladder_density,1.5
144,28,14,2.0,106.752,25,553,0.314,0.074,0.0114,fixed_ladder_density,2.0
196,9,19,0.47368421052631576,59.1104,32,118,0.9972,0.7568,0.1842,fixed_ladder_density,0.5
196,19,19,1.0,63.4498,33,148,0.9865,0.6096,0.1302,fixed_ladder_density,1.0
196,28,19,1.4736842105263157,96.8708,39,329,0.6024,0.1134,0.008,fixed_ladder_density,1.5
196,38,19,2.0,134.1676,31,697,0.3019,0.0475,0.0043,fixed_ladder_density,2.0
256,12,25,0.48,75.2657,44,210,0.9891,0.794,0.2596,fixed_ladder_density,0.5
256,25,25,1.0,98.6611,44,281,0.8958,0.3174,0.0309,fixed_ladder_density,1.0
256,37,25,1.48,115.6256,50,295,0.7159,0.1372,0.0072,fixed_ladder_density,1.5
256,50,25,2.0,185.2144,57,630,0.1884,0.0145,0.0003,fixed_ladder_density,2.0
324,16,32,0.5,92.3444,57,203,0.9994,0.879,0.2214,fixed_ladder_density,0.5
324,32,32,1.0,108.0869,57,232,0.9855,0.5625,0.0588,fixed_ladder_density,1.0
324,48,32,1.5,182.1041,75,598,0.4393,0.0478,0.0015,fixed_ladder_density,1.5
324,64,32,2.0,195.9611,75,695,0.3282,0.0236,0.0007,fixed_ladder_density,2.0
400,20,40,0.5,111.2578,69,202,0.9999,0.9164,0.2556,fixed_ladder_density,0.5
400,40,40,1.0,145.6238,82,277,0.9693,0.3482,0.0141,fixed_ladder_density,1.0
400,60,40,1.5,161.749,91,318,0.8938,0.1749,0.0048,fixed_ladder_density,1.5
400,80,40,2.0,269.839,108,745,0.1573,0.0037,0.0,fixed_ladder_density,2.0
