Board Size,Ratio,Entity Fixed,Data Source,Average Game Time
8.0,0.5,Ns Fixed,Simulation,12.926
8.0,0.5,Ns Fixed,Markov Model,13.174265527230965
8.0,1.0,Ns Fixed,Simulation,38.382
8.0,1.0,Ns Fixed,Markov Model,39.863364932109945
8.0,1.5,Ns Fixed,Simulation,59.511
8.0,1.5,Ns Fixed,Markov Model,58.261536270759905
8.0,2.0,Ns Fixed,Simulation,40.434
8.0,2.0,Ns Fixed,Markov Model,39.98534582287539
10.0,0.5,Ns Fixed,Simulation,72.418
10.0,0.5,Ns Fixed,Markov Model,73.69060178789789
10.0,1.0,Ns Fixed,Simulation,36.546
10.0,1.0,Ns Fixed,Markov Model,35.708667769969225
10.0,1.5,Ns Fixed,Simulation,39.585
10.0,1.5,Ns Fixed,Markov Model,39.07274879150202
10.0,2.0,Ns Fixed,Simulation,119.057
10.0,2.0,Ns Fixed,Markov Model,113.27942325992564
12.0,0.5,Ns Fixed,Simulation,22.528
12.0,0.5,Ns Fixed,Markov Model,22.660282992030478
12.0,1.0,Ns Fixed,Simulation,38.344
12.0,1.0,Ns Fixed,Markov Model,36.352621733891866
12.0,1.5,Ns Fixed,Simulation,159.89
12.0,1.5,Ns Fixed,Markov Model,156.0788217240705
12.0,2.0,Ns Fixed,Simulation,69.147
12.0,2.0,Ns Fixed,Markov Model,70.15512874712148
14.0,0.5,Ns Fixed,Simulation,48.784
14.0,0.5,Ns Fixed,Markov Model,46.754413047580684
14.0,1.0,Ns Fixed,Simulation,79.537
14.0,1.0,Ns Fixed,Markov Model,81.3542322027705
14.0,1.5,Ns Fixed,Simulation,91.78
14.0,1.5,Ns Fixed,Markov Model,94.05612903951177
14.0,2.0,Ns Fixed,Simulation,146.251
14.0,2.0,Ns Fixed,Markov Model,140.87822784779414
16.0,0.5,Ns Fixed,Simulation,52.887
16.0,0.5,Ns Fixed,Markov Model,53.563710150235764
16.0,1.0,Ns Fixed,Simulation,182.481
16.0,1.0,Ns Fixed,Markov Model,186.69928094343751
16.0,1.5,Ns Fixed,Simulation,75.516
16.0,1.5,Ns Fixed,Markov Model,75.66060644470876
16.0,2.0,Ns Fixed,Simulation,798.364
16.0,2.0,Ns Fixed,Markov Model,755.972444869061
18.0,0.5,Ns Fixed,Simulation,70.918
18.0,0.5,Ns Fixed,Markov Model,70.8438101116983
18.0,1.0,Ns Fixed,Simulation,134.25
18.0,1.0,Ns Fixed,Markov Model,129.04380896895498
18.0,1.5,Ns Fixed,Simulation,233.35
18.0,1.5,Ns Fixed,Markov Model,231.15753391283243
18.0,2.0,Ns Fixed,Simulation,240.501
18.0,2.0,Ns Fixed,Markov Model,247.3273567062524
20.0,0.5,Ns Fixed,Simulation,283.807
20.0,0.5,Ns Fixed,Markov Model,285.7975726119531
20.0,1.0,Ns Fixed,Simulation,72.798
20.0,1.0,Ns Fixed,Markov Model,72.88311898532407
20.0,1.5,Ns Fixed,Simulation,95.702
20.0,1.5,Ns Fixed,Markov Model,102.87950169941057
20.0,2.0,Ns Fixed,Simulation,121.116
20.0,2.0,Ns Fixed,Markov Model,124.38042440618608
8.0,0.5,Nl Fixed,Simulation,18.386
8.0,0.5,Nl Fixed,Markov Model,18.521947939350504
8.0,1.0,Nl Fixed,Simulation,20.679
8.0,1.0,Nl Fixed,Markov Model,21.141025704251582
8.0,1.5,Nl Fixed,Simulation,53.489
8.0,1.5,Nl Fixed,Markov Model,52.59178057487386
