board_size,ratio,avg_time_sim,avg_time_markov,prob_win_n2_sim,prob_win_n3_sim,prob_win_n4_sim,prob_win_n2_markov,prob_win_n3_markov,prob_win_n4_markov
8,0.5,18.386,18.521947939350504,0.922,0.705,0.507,0.9128950827205414,0.693502590182164,0.4938612159621183
8,1.0,20.679,21.141025704251582,0.863,0.621,0.449,0.8473556097605499,0.6118089801965563,0.4314191733020886
8,1.5,53.489,52.59178057487386,0.437,0.284,0.21,0.4346815640570011,0.28518230879723455,0.2039017619032524
8,2.0,403.209,414.9073950377232,0.056,0.03,0.022,0.06225128187027662,0.036656269554951354,0.02501878768333693
10,0.5,31.161,31.41147544880645,0.869,0.677,0.498,0.8647702861023556,0.6636021809298666,0.4857672998218093
10,1.0,53.876,55.017140563115404,0.585,0.413,0.3,0.5916084393463997,0.40422990645374446,0.2886667376606103
10,1.5,79.089,77.81933434270096,0.455,0.309,0.239,0.4584410529255178,0.31153977465363036,0.2291927595165858
10,2.0,51.106,54.624113087333455,0.621,0.477,0.379,0.6022559157153515,0.45636355517809096,0.3702661868559286
12,0.5,19.647,19.747656371624487,0.999,0.983,0.916,0.9976425805421975,0.9739281786773085,0.9151620811180239
12,1.0,68.478,72.91960316469991,0.652,0.496,0.39,0.6322202432321816,0.4763336619369098,0.3750479411556797
12,1.5,204.153,210.6392996796007,0.261,0.164,0.103,0.2576642205291547,0.16139580433426998,0.1086841480277298
12,2.0,400.594,414.7626079876166,0.131,0.079,0.053,0.13578361690329607,0.08245112471851195,0.05457114535887422
14,0.5,25.771,26.151038239841007,0.999,0.976,0.915,0.9987739056545238,0.9794725214577711,0.9239337784620196
14,1.0,122.627,116.83693238084075,0.538,0.375,0.295,0.5616517226739854,0.4008188169192233,0.30274519028647034
14,1.5,98.56,94.14038379416635,0.646,0.502,0.42,0.6478963691791858,0.5068081180710089,0.4192769481807262
14,2.0,298.685,322.6786479561255,0.246,0.166,0.107,0.2354739928604256,0.14868060068169336,0.10337340347760932
16,0.5,34.013,33.8564405413555,0.999,0.986,0.94,0.9985864802892337,0.9817120797142064,0.9361939892824314
16,1.0,49.71,49.85943811628897,0.963,0.865,0.745,0.9601386499465163,0.8622497932094009,0.7476532975977161
16,1.5,66.148,64.80212145720256,0.894,0.762,0.619,0.9045248446806163,0.7600998686405404,0.6237951411259809
16,2.0,127.023,123.68942970071417,0.642,0.473,0.369,0.6470225140604521,0.4790900535035748,0.37005432969499497
18,0.5,107.675,109.21542085623503,0.795,0.635,0.524,0.7881770480523091,0.628876775631571,0.5087681423059525
18,1.0,188.282,192.56589164006343,0.573,0.385,0.302,0.5585836852203343,0.39020155143122665,0.28335046436413436
18,1.5,337.233,360.882481704803,0.372,0.255,0.187,0.3477466918044302,0.2377320325711854,0.17595038737837734
18,2.0,167.007,166.72050965481512,0.627,0.473,0.359,0.6217485575567814,0.4632916457393302,0.36068155093612153
20,0.5,46.015,46.21636600561159,0.999,0.991,0.964,0.9997092134401274,0.9931293849119438,0.9673830615025111
20,1.0,51.938,51.817208955544714,0.997,0.979,0.927,0.9969004613724419,0.9729681932359654,0.9214503610152962
20,1.5,63.926,62.6221712504349,0.982,0.901,0.813,0.9766228416038847,0.9103862509264824,0.8262955333936476
20,2.0,182.696,189.7957872892569,0.663,0.491,0.373,0.65393151608335,0.4896921892958114,0.3821142891043047
